eon,era,period,subperiod,epoch,age,MA,base,duration,,,,
Phanerozoic,Paleozoic,Permian,,Cisuralian,Asselian,295,298.9,3.9,,,,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Late,Gzhelian,298.9,303.4,4.9,7.8,24.3,60,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Late,Kasimovian,303.4,306.7,3.3,,,,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Middle,Moscovian,306.7,314.6,7.9,7.9,,,
Phanerozoic,Paleozoic,Carboniferous,Pennsylvanian,Early,Bashkirian,314.6,323.2,8.6,8.6,,,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,Late,Serpukhovian,323.2,330.9,7.7,7.7,35.7,,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,Middle,Visean,330.9,346.7,15.8,15.8,,,
Phanerozoic,Paleozoic,Carboniferous,Mississippian,Early,Tournaisian,346.7,358.9,12.2,12.2,,,
Phanerozoic,Paleozoic,Devonian,,Late,Famennian,358.9,372.2,13.3,23.8,60.3,,
Phanerozoic,Paleozoic,Devonian,,Late,Frasnian,372.2,382.7,10.5,,,,
Phanerozoic,Paleozoic,Devonian,,Middle,Givetian,382.7,387.7,5,10.6,,,
Phanerozoic,Paleozoic,Devonian,,Middle,Eifelian,387.7,393.3,5.6,,,,
Phanerozoic,Paleozoic,Devonian,,Early,Emsian,393.3,407.6,14.3,25.9,,,
Phanerozoic,Paleozoic,Devonian,,Early,Pragian,407.6,410.8,3.2,,,,
Phanerozoic,Paleozoic,Devonian,,Early,Lockhovian,410.8,419.2,8.4,,,,
Phanerozoic,Paleozoic,Silurian,,Pridoli,,419.2,423,3.8,24.6,,,
Phanerozoic,Paleozoic,Silurian,,Ludlow,Ludfordian,423,425.6,2.6,4.4,,,
Phanerozoic,Paleozoic,Silurian,,Ludlow,Gorstian,425.6,427.4,1.8,,,,
Phanerozoic,Paleozoic,Silurian,,Wenlock,Homerian,427.4,430.5,3.1,6,,,
Phanerozoic,Paleozoic,Silurian,,Wenlock,Sheinwoodian,430.5,433.4,2.9,,,,
Phanerozoic,Paleozoic,Silurian,,Llandovery,Telychian,433.4,438.5,5.1,10.4,,,
Phanerozoic,Paleozoic,Silurian,,Llandovery,Aeronian,438.5,440.8,2.3,,,,
Phanerozoic,Paleozoic,Silurian,,Llandovery,Rhuddanian,440.8,443.8,3,,,,
Phanerozoic,Paleozoic,Ordovician,,Late,Hirnantian,443.8,445.2,1.4,14.6,41.6,,
Phanerozoic,Paleozoic,Ordovician,,Late,Katian,445.2,453,7.8,,,,
Phanerozoic,Paleozoic,Ordovician,,Late,Sandbian,453,458.4,5.4,,,,
Phanerozoic,Paleozoic,Ordovician,,Middle,Darriwillian,458.4,467.3,8.9,11.6,,,
Phanerozoic,Paleozoic,Ordovician,,Middle,Dapingian,467.3,470,2.7,,,,
Phanerozoic,Paleozoic,Ordovician,,Early,Floian,470,477.7,7.7,15.4,,,
Phanerozoic,Paleozoic,Ordovician,,Early,Tremadocian,477.7,485.4,7.7,,,,
Phanerozoic,Paleozoic,Cambrian,,Furongian,Age 10,485.4,489.5,4.1,11.6,55.6,,
Phanerozoic,Paleozoic,Cambrian,,Furongian,Jiangshanian,489.5,494,4.5,,,,
Phanerozoic,Paleozoic,Cambrian,,Furongian,Paibian,494,497,3,,,,
Phanerozoic,Paleozoic,Cambrian,,Epoch 3,Guzhangian,497,500.5,3.5,12,,,
Phanerozoic,Paleozoic,Cambrian,,Epoch 3,Drumian,500.5,504.5,4,,,,
Phanerozoic,Paleozoic,Cambrian,,Epoch 3,Age 5,504.5,509,4.5,,,,
Phanerozoic,Paleozoic,Cambrian,,Epoch 2,Age 4,509,514,5,11,,,
Phanerozoic,Paleozoic,Cambrian,,Epoch 2,Age 3,514,520,6,,,,
Phanerozoic,Paleozoic,Cambrian,,Terreneuvian,Age 2,520,530,10,21,,,
Phanerozoic,Paleozoic,Cambrian,,Terreneuvian,Fortunian,530,541,11,,,,
Proterozoic,Neoproterozoic,Ediacaran,,Late,Age 4,541,550,9,43,94,179,1879
Proterozoic,Neoproterozoic,Ediacaran,,Late,Age 3,550,560,10,,,,
Proterozoic,Neoproterozoic,Ediacaran,,Late,Age 2,560,584,24,,,,
Proterozoic,Neoproterozoic,Ediacaran,,Early,,584,635,51,,,,
Proterozoic,Neoproterozoic,Cryogenian,,,,635,720,85,,,,
Proterozoic,Mesoproterozoic,Rodinian,,,,720,1780,1060,1060,,,
Proterozoic,Paleoproterozoic,Columbian,,,,1780,2060,280,640,,,
Proterozoic,Paleoproterozoic,Jatulian,,,,2060,2250,190,,,,
Proterozoic,Paleoproterozoic,Oxygenian,,,,2250,2420,170,,,,
Archean,Neoarchean,Siderian,,,,2420,2630,210,360,1610,,
Archean,Neoarchean,Methanian,,,,2630,2780,150,,,,
Archean,Mesoarchean,Pongolan,,,,2780,3020,240,710,,,
Archean,Mesoarchean,Vaalbaran,,,,3020,3490,470,,,,
Archean,Paleoarchean,Isuan,,,,3490,3810,320,540,,,
Archean,Paleoarchean,Acastan,,,,3810,4030,,220,,,
Hadean,Zirconian,Procrustean,,,,4030,4200,170,374,538,,
Hadean,Zirconian,Canadian,,,,4200,4280,80,,,,
Hadean,Zirconian,Jacobian,,,,4280,4404,124,,,,
Hadean,Chaotian,Hephaestean,,,,4404,4450,46,164,,,
Hadean,Chaotian,Titanomachean,,,,4450,4560,110,,,,
Hadean,Chaotian,Hyperitian,,,,4560,4568,8,,,,
Proteimeran,Neoproteimeran,Erebrean,,,,4568,4630,62,112,9230,,
Proteimeran,Neoproteimeran,Nephelean,,,,4630,4680,50,,,,
Proteimeran,Mesoproteimeran,Neogalactic,,,,4680,13200,8520,8870,,,
Proteimeran,Mesoproteimeran,Eogalactic,,,,13200,13550,350,,,,
Proteimeran,Paleoproteimeran,Paleocelestial,,,,13550,13600,50,248,,,
Proteimeran,Paleoproteimeran,Precelestial,,,,13600,13798,198,,,,
Theochronic,,,,,,,Inf,Inf,,,,
